Experiment,Micro-F1,Macro-F1,P@5,R@10,Hamming,Evid.Support,Unsupported
E1,0.4494 ± 0.0000,0.4476 ± 0.0000,0.5521 ± 0.0000,0.7918 ± 0.0000,0.2244 ± 0.0000,—,—
E2,0.4412 ± 0.0000,0.4154 ± 0.0000,0.5578 ± 0.0000,0.7780 ± 0.0000,0.2278 ± 0.0000,—,—
E3,0.3717 ± 0.0073,0.2765 ± 0.0126,0.5647 ± 0.0026,0.4229 ± 0.0088,0.1311 ± 0.0025,—,—
E4,0.1957,0.2044,0.1229,0.2407,0.3279,—,—
E5,0.1852,0.1556,0.1306,0.2398,0.3321,—,—
E6,0.2027,0.2029,0.1424,0.2718,0.3250,—,—
E7,0.0036,0.0028,0.0091,0.0028,0.1078,1.0000,0.0000
E8,0.0145,0.0099,0.0378,0.0084,0.1086,1.0000,0.0000
E9,0.1807,0.1728,0.1345,0.2478,0.3340,0.3308,0.6692
E10,0.1824,0.1633,0.1355,0.2454,0.3333,0.2929,0.7071
E11,0.1865,0.1796,0.1421,0.2564,0.3316,0.3338,0.6662
E12,0.1335,0.1236,0.1217,0.1141,0.1800,1.0000,0.0000
E13,0.1948,0.1788,0.1547,0.2680,0.3282,0.2843,0.7157
E14,0.1329,0.1196,0.1293,0.1067,0.1673,1.0000,0.0000
